Membership No  Date Joined  Active  
    62943      2017-5-8     yes   
    19612      2020-1-18    yes   
    93950      2020-11-17   yes   
    89345      2018-8-22    yes   
    52387      2015-3-1     no    
    36411      2016-12-8    yes   
    67591      2017-7-6     no    
    57155      2017-8-18    yes   
    42445      2015-4-20    yes   
    27223      2016-12-17   no    
    77586      2020-6-1     yes   
    38851      2019-5-5     yes   
    80184      2019-11-15   no    
    73947      2015-11-9    no    
    68135      2020-1-2     no    
    17510      2019-9-10    yes   
    59864      2019-10-23   no    
    28068      2017-4-9     no    
    92471      2015-4-1     no    
    17798      2016-5-8     no    
